Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,Graduate,Yes,17554,11289,618,360,1,Rural,Y
Female,Yes,Graduate,No,23753,14254,388,300,1,Urban,Y
Male,No,Graduate,Yes,23040,11804,540,480,1,Semiurban,Y
Female,No,Graduate,No,22141,12185,569,240,1,Rural,N
Male,Yes,Graduate,No,10755,6133,314,300,1,Urban,Y
Female,No,Graduate,Yes,14931,4013,264,480,0,Rural,N
Male,Yes,Graduate,Yes,18422,7302,207,360,1,Semiurban,Y
Female,Yes,Graduate,No,19318,7750,566,360,1,Urban,Y
Male,No,Graduate,No,22263,14137,493,480,1,Semiurban,N
Female,Yes,Graduate,Yes,24588,9765,688,300,1,Urban,N
Male,Yes,Graduate,No,11338,11328,335,240,1,Rural,Y
Female,No,Graduate,Yes,22508,4961,213,300,1,Urban,N
Male,Yes,Graduate,Yes,21285,9249,381,480,1,Semiurban,Y
Female,No,Graduate,No,20654,11825,658,180,1,Rural,N
Male,No,Graduate,No,20903,11203,435,360,1,Urban,Y
Female,Yes,Graduate,No,20365,10255,153,240,0,Semiurban,Y
Male,No,Graduate,Yes,16429,4157,96,300,1,Rural,N
Female,No,Graduate,No,19842,7438,299,360,1,Semiurban,N
Male,Yes,Graduate,Yes,21842,13563,570,300,1,Urban,Y
Female,Yes,Graduate,No,23590,14793,454,360,1,Rural,Y
Male,No,Graduate,No,15620,4354,320,120,1,Semiurban,N
Female,Yes,Graduate,Yes,20758,9397,225,240,1,Urban,Y
Male,Yes,Graduate,No,16903,10535,345,480,1,Rural,Y
Female,No,Graduate,No,12307,8523,151,180,1,Urban,N
Male,No,Graduate,Yes,19029,14463,388,360,1,Semiurban,Y
Female,Yes,Graduate,Yes,23543,7958,261,240,1,Rural,Y
Male,Yes,Graduate,No,14733,9679,201,300,1,Urban,N
Female,Yes,Graduate,Yes,22104,12128,575,480,1,Semiurban,Y
Male,No,Graduate,No,21700,14087,315,360,0,Rural,N
Female,Yes,Graduate,Yes,24041,12458,367,480,1,Urban,Y
Male,Yes,Graduate,Yes,23419,10825,331,240,1,Urban,N
Male,Yes,Graduate,No,22574,12080,692,120,1,Urban,Y
Male,No,Graduate,Yes,3006,8756,128,180,1,Urban,N
Female,Yes,Graduate,No,7600,14663,273,120,0,Urban,N
Male,Yes,Graduate,No,8870,4598,292,480,1,Urban,Y
Male,No,Graduate,Yes,7606,6199,467,120,1,Rural,N
Female,No,Graduate,No,17528,2996,560,360,1,Rural,Y
Male,No,Not Graduate,Yes,20536,9348,287,120,1,Urban,Y
Male,No,Graduate,No,4776,4670,526,120,1,Semiurban,N
Male,No,Graduate,No,2423,5922,529,480,0,Semiurban,N
Male,No,Graduate,No,24860,14218,65,300,1,Urban,Y
Female,Yes,Not Graduate,No,13575,13283,190,180,1,Urban,Y
Male,No,Graduate,No,12174,10154,695,180,1,Semiurban,N
Male,Yes,Not Graduate,No,15479,1492,87,300,1,Urban,N
Male,No,Graduate,No,23103,13892,585,480,1,Semiurban,N
Male,No,Graduate,No,4037,6945,509,360,1,Urban,N
Female,Yes,Not Graduate,No,3394,13791,474,240,1,Rural,N
Female,Yes,Graduate,No,22361,11627,249,480,1,Urban,Y
Male,Yes,Graduate,Yes,16522,10288,637,480,1,Rural,Y
Female,Yes,Graduate,No,22958,12267,518,240,1,Semiurban,Y
Male,Yes,Graduate,No,19491,11769,173,480,1,Rural,Y
Female,No,Graduate,No,13050,8510,362,300,0,Semiurban,N
Male,Yes,Graduate,Yes,23697,14029,411,360,1,Urban,Y
Female,Yes,Graduate,Yes,17808,13753,341,300,1,Rural,Y
Male,No,Graduate,No,22193,9390,474,240,1,Semiurban,Y
Female,No,Graduate,Yes,19026,12608,372,360,1,Urban,N
Male,Yes,Graduate,No,17819,14230,531,240,1,Semiurban,Y
Female,Yes,Graduate,Yes,14245,8798,296,480,1,Rural,N
Male,No,Graduate,No,24718,11122,605,300,1,Urban,Y
Female,Yes,Graduate,No,21365,14087,291,240,1,Semiurban,Y
Male,No,Graduate,No,16087,13952,576,360,0,Urban,N
Female,Yes,Graduate,Yes,24514,8282,340,360,1,Rural,Y
Male,Yes,Graduate,Yes,20870,13291,489,300,1,Urban,Y
Female,Yes,Graduate,No,20232,12164,428,480,1,Semiurban,Y
Male,No,Graduate,Yes,22288,10357,228,240,1,Rural,N
Female,No,Graduate,No,19014,12059,385,360,1,Urban,N
Male,Yes,Graduate,No,21980,7920,258,480,1,Semiurban,Y
Female,Yes,Graduate,No,17393,10583,342,240,1,Rural,Y
Male,No,Graduate,No,18902,11393,194,300,0,Urban,N
Female,Yes,Graduate,No,23642,13257,176,480,1,Semiurban,Y
Male,Yes,Graduate,Yes,24167,10754,259,240,1,Urban,Y
Female,No,Graduate,No,17493,5678,480,180,1,Rural,N
Male,No,Graduate,No,16373,12295,115,360,1,Semiurban,N
Female,Yes,Graduate,Yes,18012,8342,520,300,1,Urban,Y
Male,Yes,Graduate,No,19740,9475,349,240,1,Rural,Y
Female,No,Graduate,No,24629,14019,565,480,1,Urban,Y
Male,Yes,Graduate,Yes,23870,7653,426,360,1,Semiurban,Y
Female,Yes,Graduate,No,18422,12417,273,300,1,Rural,Y
Male,No,Graduate,Yes,21279,8255,493,360,1,Urban,N
Female,No,Graduate,No,16814,11056,242,480,1,Semiurban,N
Male,Yes,Graduate,Yes,19874,12340,321,240,1,Semiurban,Y
Female,No,Graduate,No,15896,11052,458,360,1,Urban,N
Male,Yes,Graduate,No,24119,10548,562,300,1,Rural,Y
Female,Yes,Graduate,No,20678,13274,279,480,1,Semiurban,Y
Male,No,Graduate,Yes,18954,9864,192,240,1,Urban,N
Female,Yes,Graduate,No,17231,14037,355,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,23094,11258,426,480,1,Rural,Y
Female,No,Graduate,No,15738,9784,392,360,0,Urban,N
Male,No,Graduate,No,22346,14129,188,300,1,Urban,Y
Female,Yes,Graduate,No,18154,13392,318,480,1,Rural,Y
Male,No,Graduate,No,20135,8564,502,240,1,Semiurban,N
Female,Yes,Graduate,Yes,21942,10948,270,360,1,Urban,Y
Male,Yes,Graduate,Yes,24970,13792,478,300,1,Semiurban,Y
Female,No,Graduate,No,16274,11563,344,480,1,Urban,N
Male,Yes,Graduate,No,22630,12678,407,240,1,Urban,Y
Female,Yes,Graduate,Yes,19348,13846,280,360,1,Rural,Y
Male,No,Graduate,No,14596,9438,493,300,0,Semiurban,N
Female,Yes,Graduate,No,18759,12587,357,480,1,Urban,Y
Male,Yes,Graduate,Yes,20463,13954,226,240,1,Rural,Y
Female,No,Graduate,No,15482,10473,411,360,1,Urban,N
Male,Yes,Graduate,No,22940,10152,346,480,1,Semiurban,Y
Female,Yes,Graduate,No,19284,12983,285,300,1,Rural,Y
Male,No,Graduate,No,16932,11874,401,240,1,Urban,N
Female,Yes,Graduate,Yes,21548,11296,192,360,1,Semiurban,Y
Male,No,Graduate,No,15639,10835,520,360,1,Urban,N
Female,Yes,Graduate,No,17862,13658,377,480,1,Rural,Y
Male,Yes,Graduate,Yes,24816,14293,438,240,1,Semiurban,Y
Female,No,Graduate,No,16840,11527,331,360,1,Urban,N
Male,Yes,Graduate,No,23751,14006,278,480,1,Rural,Y
Female,Yes,Graduate,No,19893,13365,289,300,1,Semiurban,Y
Male,No,Graduate,No,16057,10285,456,240,1,Urban,N
Female,Yes,Graduate,Yes,22437,12040,217,360,1,Rural,Y
Male,Yes,Graduate,Yes,24598,12583,392,480,1,Urban,Y
Female,No,Graduate,No,17760,11952,401,360,1,Semiurban,N
Male,Yes,Graduate,No,20394,10825,369,240,1,Rural,Y
Female,Yes,Graduate,No,19084,12964,342,480,1,Urban,Y
Male,No,Graduate,No,14762,9815,485,300,0,Semiurban,N
Female,Yes,Graduate,Yes,21965,11492,196,360,1,Rural,Y
Male,Yes,Graduate,Yes,23382,13309,473,480,1,Urban,Y
Female,No,Graduate,No,17214,10587,388,240,1,Semiurban,N
Male,No,Graduate,No,18356,11170,445,300,1,Urban,N
Female,Yes,Graduate,No,20879,13093,276,480,1,Rural,Y
Male,Yes,Graduate,Yes,24251,12274,365,240,1,Semiurban,Y
Female,Yes,Graduate,No,18730,12862,289,360,1,Urban,Y
Male,No,Graduate,No,17419,11764,512,360,1,Rural,N
Female,No,Graduate,No,16128,10356,371,240,1,Urban,N
Male,Yes,Graduate,No,21943,13702,249,480,1,Semiurban,Y
Female,Yes,Graduate,Yes,19462,12931,258,300,1,Rural,Y
Male,No,Graduate,No,16374,9954,433,240,1,Urban,N
Female,Yes,Graduate,No,20915,12785,310,480,1,Semiurban,Y
Male,Yes,Graduate,Yes,22385,12567,372,240,1,Semiurban,Y
Female,No,Graduate,No,16849,10753,448,360,1,Urban,N
Male,Yes,Graduate,No,24103,13147,292,300,1,Rural,Y
Female,Yes,Graduate,No,20694,13715,261,480,1,Semiurban,Y
Male,No,Graduate,Yes,18652,10173,201,240,1,Urban,N
Female,Yes,Graduate,No,17240,14208,328,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,23985,11164,417,480,1,Rural,Y
Female,No,Graduate,No,16053,10342,386,360,0,Urban,N
Male,No,Graduate,No,22178,13562,185,300,1,Urban,Y
Female,Yes,Graduate,No,17941,12673,309,480,1,Rural,Y
Male,No,Graduate,No,20085,9225,487,240,1,Semiurban,N
Female,Yes,Graduate,Yes,21438,11879,253,360,1,Urban,Y
Male,Yes,Graduate,Yes,24762,14327,451,300,1,Semiurban,Y
Female,No,Graduate,No,16490,11948,354,480,1,Urban,N
Male,Yes,Graduate,No,22642,13082,399,240,1,Urban,Y
Female,Yes,Graduate,Yes,19157,13941,295,360,1,Rural,Y
Male,No,Graduate,No,14867,9632,472,300,0,Semiurban,N
Female,Yes,Graduate,No,18964,12730,369,480,1,Urban,Y
Male,Yes,Graduate,Yes,20571,14148,232,240,1,Rural,Y
Female,No,Graduate,No,15263,10145,398,360,1,Urban,N
Male,Yes,Graduate,No,23124,10784,352,480,1,Semiurban,Y
Female,Yes,Graduate,No,19411,13210,276,300,1,Rural,Y
Male,No,Graduate,No,16872,11702,390,240,1,Urban,N
Female,Yes,Graduate,Yes,21897,11458,198,360,1,Semiurban,Y
Male,No,Graduate,No,15731,11242,502,360,1,Urban,N
Female,Yes,Graduate,No,18254,13460,342,480,1,Rural,Y
Male,Yes,Graduate,Yes,24906,14583,423,240,1,Semiurban,Y
Female,No,Graduate,No,17084,11339,325,360,1,Urban,N
Male,Yes,Graduate,No,23410,13867,271,480,1,Rural,Y
Female,Yes,Graduate,No,19632,13175,292,300,1,Semiurban,Y
Male,No,Graduate,No,16248,10624,468,240,1,Urban,N
Female,Yes,Graduate,Yes,22541,12292,210,360,1,Rural,Y
Male,Yes,Graduate,Yes,24293,12968,376,480,1,Urban,Y
Female,No,Graduate,No,17549,12108,385,360,1,Semiurban,N
Male,Yes,Graduate,No,20570,11025,357,240,1,Rural,Y
Female,Yes,Graduate,No,19173,13641,301,480,1,Urban,Y
Male,No,Graduate,No,15023,10032,491,300,0,Semiurban,N
Female,Yes,Graduate,Yes,22081,11760,204,360,1,Rural,Y
Male,Yes,Graduate,Yes,23598,13502,466,480,1,Urban,Y
Female,No,Graduate,No,17320,10884,376,240,1,Semiurban,N
Male,No,Graduate,No,18407,11511,441,300,1,Urban,N
Female,Yes,Graduate,No,21018,13247,283,480,1,Rural,Y
Male,Yes,Graduate,Yes,24367,12681,361,240,1,Semiurban,Y
Female,Yes,Graduate,No,18859,13043,295,360,1,Urban,Y
Male,No,Graduate,No,17604,11882,508,360,1,Rural,N
Female,No,Graduate,No,16235,10417,367,240,1,Urban,N
Male,Yes,Graduate,No,22097,13945,243,480,1,Semiurban,Y
Female,Yes,Graduate,Yes,19538,13289,264,300,1,Rural,Y
Male,No,Graduate,No,16540,9908,437,240,1,Urban,N
Female,Yes,Graduate,No,21130,12846,318,480,1,Semiurban,Y
Male,Yes,Graduate,Yes,22945,12158,364,240,1,Semiurban,Y
Female,No,Graduate,No,16923,10842,442,360,1,Urban,N
Male,Yes,Graduate,No,24362,13429,296,300,1,Rural,Y
Female,Yes,Graduate,No,20718,13854,269,480,1,Semiurban,Y
Male,No,Graduate,Yes,18810,10421,206,240,1,Urban,N
Female,Yes,Graduate,No,17356,14172,335,360,1,Semiurban,Y
Male,Yes,Graduate,Yes,23784,11315,424,480,1,Rural,Y
Female,No,Graduate,No,16108,10467,382,360,0,Urban,N
Male,No,Graduate,No,22283,13610,194,300,1,Urban,Y
Female,Yes,Graduate,No,18007,12894,312,480,1,Rural,Y
Male,No,Graduate,No,20193,9360,489,240,1,Semiurban,N
Female,Yes,Graduate,Yes,21624,12007,255,360,1,Urban,Y
Male,Yes,Graduate,Yes,24891,14405,457,300,1,Semiurban,Y
Female,No,Graduate,No,16537,12063,349,480,1,Urban,N
Male,Yes,Graduate,No,22802,13259,404,240,1,Urban,Y
Female,Yes,Graduate,Yes,19234,14054,298,360,1,Rural,Y
Male,No,Graduate,No,14928,9724,478,300,0,Semiurban,N
Female,Yes,Graduate,No,19072,12910,371,480,1,Urban,Y
Male,Yes,Graduate,Yes,20739,14237,238,240,1,Rural,Y
Female,No,Graduate,No,15329,10264,403,360,1,Urban,N
Male,Yes,Graduate,No,23204,10938,348,480,1,Semiurban,Y
Female,Yes,Graduate,No,19516,13385,278,300,1,Rural,Y
Male,No,Graduate,No,16989,11835,395,240,1,Urban,N
Female,Yes,Graduate,Yes,22076,11620,201,360,1,Semiurban,Y
Male,No,Graduate,No,15817,11321,506,360,1,Urban,N
Female,Yes,Graduate,No,18398,13619,347,480,1,Rural,Y
Male,Yes,Graduate,Yes,24932,14728,430,240,1,Semiurban,Y
Female,No,Graduate,No,17192,11462,329,360,1,Urban,N
Male,Yes,Graduate,No,23522,14064,276,480,1,Rural,Y
Female,Yes,Graduate,No,19708,13328,288,300,1,Semiurban,Y
Male,No,Graduate,No,16308,10792,463,240,1,Urban,N
Female,Yes,Graduate,Yes,22654,12357,213,360,1,Rural,Y
Male,Yes,Graduate,Yes,24489,13045,382,480,1,Urban,Y
Female,No,Graduate,No,17658,12219,389,360,1,Semiurban,N
Male,Yes,Graduate,No,20632,11149,362,240,1,Rural,Y
Female,Yes,Graduate,No,19216,13734,304,480,1,Urban,Y
Male,No,Graduate,No,15105,10117,495,300,0,Semiurban,N
Female,Yes,Graduate,Yes,22147,11848,207,360,1,Rural,Y
Male,Yes,Graduate,Yes,23671,13681,470,480,1,Urban,Y
Female,No,Graduate,No,17410,10954,380,240,1,Semiurban,N
Male,No,Graduate,No,18529,11648,447,300,1,Urban,N
Female,Yes,Graduate,No,21196,13329,286,480,1,Rural,Y
Male,Yes,Graduate,Yes,24417,12813,368,240,1,Semiurban,Y
Female,Yes,Graduate,No,18927,13122,298,360,1,Urban,Y
Male,No,Graduate,No,17721,11996,512,360,1,Rural,N
Female,No,Graduate,No,16319,10504,371,240,1,Urban,N
Male,Yes,Graduate,No,22162,14092,246,480,1,Semiurban,Y
Female,Yes,Graduate,Yes,19620,13447,267,300,1,Rural,Y
Male,No,Graduate,No,16631,10093,440,240,1,Urban,N
Female,Yes,Graduate,No,21245,12962,320,480,1,Semiurban,Y
